#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-08-17T21:00:26 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-17T21:00:26	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/607/665/table1,J/ApJ/607/665/table2,J/ApJ/607/665/table5&-order=I&Simbad=Simbad&NED=NED&-out=Epoch&-out=Kcorr&-out=z&-out=mu&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=3	
#  3 catalogues with potential matches were examined.
#

#RESOURCE=yCat_16070665
#Name: J/ApJ/607/665
#Title: Type Ia supernovae at z>1 discovered by HST (Riess+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/apj/607/665	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/607/665	    IVOID of underlying data collection
#INFO	creator=Riess A.G.	    First author or institution
#INFO	cites=bibcode:2004ApJ...607..665R	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/607/665	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.16070665	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_607_665_table1:
#Name: J/ApJ/607/665/table1
#Title: Discovery data





















#Table	J_ApJ_607_665_table2:
#Name: J/ApJ/607/665/table2
#Title: SN Ia imaging
#Column	Epoch	(F5.1)	Rest frame epoch	[ucd=]
#Column	Kcorr	(F6.3)	K correction	[ucd=]
Epoch|Kcorr
 |mag
-----|------
-13.5| 0.001
  4.2| 0.330
 21.8| 0.810
-15.5|-1.480
  4.2|-1.160
 22.0|-0.790
  2.7| 0.730
  2.7|-1.190
 11.0|-1.150
 15.4|-1.120
 22.2|-0.990
 32.2|-0.960
  2.7|-1.280
  7.2|-1.220
 11.0|-1.170
 15.4|-1.120
 22.2|-0.930
 32.2|-0.690
  7.7|-1.240
  7.7|-0.870
  7.7|-1.350
 11.7|-1.370
 16.2|-1.430
 19.6|-1.490
 26.2|-1.550
 35.0|-1.560
 11.9|-1.320
  0.0|-0.220
  4.5|-0.150
  0.0|-1.430
  4.5|-1.390
  8.0|-1.380
 11.5|-1.370
 15.7|-1.330
 18.7|-1.270
  5.6|-1.590
  8.7|-1.540
 -7.5|-0.230
 27.5| 0.230
 -7.5|-0.430
  3.0|-0.470
 27.5|-0.440
 -7.5|-0.460
 27.5|-0.190
 -1.3| 0.840
 24.0| 1.360
 -1.3|-1.150
  4.3|-1.110
 24.1|-0.830
 32.2|-0.790
 -1.3|-1.340
  4.3|-1.290
  7.2|-1.220
 13.7|-1.110
 19.1|-0.910
 24.1|-0.720
 28.7|-0.590
 28.5|-0.590
 32.2|-0.520
 33.3|-0.520
 36.7|-0.560
 43.5|-0.600
 52.5|-0.660
  6.0| 0.857
  6.0|-1.120
 12.5|-1.090
 32.8|-0.910
-16.1|-1.170
  6.0|-1.230
 12.5|-1.130
 15.4|-1.050
 22.1|-0.800
 27.6|-0.680
 32.8|-0.650
 41.2|-0.710
 45.6|-0.730
 -6.3| 0.090
 26.2|-0.380
 55.5|-0.370
 -6.3|-0.860
  0.2|-0.890
  0.4|-0.890
  4.7|-0.950
 16.4|-1.290
 26.2|-1.680
 55.5|-1.600
 -6.3|-0.970
 26.2|-1.190
 55.5|-1.150
 11.6| 0.161
 37.6| 0.180
 11.6|-1.050
 37.6|-1.260
 43.7|-1.250
-17.9|-1.100
 11.6|-1.080
 37.6|-1.030
 43.7|-1.030
 47.0|-1.030
 54.5|-1.040
 60.7|-1.040
 71.5|-1.050
 80.6|-1.050
 88.1|-1.050
 -8.9| 0.326
 16.4| 0.330
 -8.9|-1.070
 -0.2|-1.110
  0.3|-1.110
 16.4|-1.120
 -8.9|-1.110
 -3.1|-1.130
 16.5|-1.010
 12.1| 0.087
 36.8| 0.091
-18.7|-0.720
 12.1|-1.050
 36.8|-1.290
 68.4|-1.210
-18.7|-1.050
 12.1|-1.070
 36.8|-1.090
 68.4|-1.070
-17.1|-0.860
  0.3|-0.960
  5.4|-1.050
  7.7|-1.060
 12.9|-1.120
 17.3|-1.160
 21.4|-1.170
 28.9|-1.210
 31.6|-1.190
  7.9|-1.710
  9.1|-1.730
  7.9|-1.950
 -0.3|-0.470
 19.6|-0.480
 -0.3|-1.500
 19.6|-1.380
 23.7|-1.340
 29.0|-1.340
 23.8|-1.650
 29.4|-1.550
-14.0|-0.720
  3.8|-0.700
  6.6|-0.690
 12.2|-0.650
  7.0|-1.720
 11.6|-1.750
 17.7|-1.820
 20.4|-1.870
  7.0|-2.320
 11.8|-2.280
 15.0|-2.250
  3.2|-0.050
-15.0|-1.500
  3.2|-1.300
  7.3|-1.260
 10.1|-1.250
 13.7|-1.220
 18.1|-1.130
 24.8|-1.020
 29.2|-1.010
  7.4|-1.540
 10.1|-1.490
 -5.8|-0.240
 -0.8|-0.160
 12.2| 0.090
 -5.8|-1.430
 -0.8|-1.430
  0.8|-1.430
  3.0|-1.390
  7.6|-1.360
 11.8|-1.340
 12.2|-1.330
 19.6|-1.190
 23.0|-1.090
 33.7|-1.060
 -0.3|-1.690
  3.1|-1.660
 -0.2|-1.920
  3.2|-1.860

#Table	J_ApJ_607_665_table5:
#Name: J/ApJ/607/665/table5
#Title: MLCS2k2 (multicolor light-curve shape method) full sample
#Column	z	(F7.4)	Redshift	[ucd=]
#Column	mu	(F5.2)	Extinction-corrected distance modulus (1)	[ucd=]
z|mu
 |mag
-------|-----
 0.0400|36.38
 0.0500|36.84
 0.0307|35.90
 0.0560|37.31
 0.0331|35.54
 0.0460|36.35
 0.0265|35.64
 0.1010|38.73
 0.0750|37.77
 0.0610|37.30
 0.0141|34.12
 0.0262|35.06
 0.0430|36.53
 0.0450|36.97
 0.0360|36.17
 0.0580|37.13
 0.0630|37.67
 0.0186|34.96
 0.0790|37.94
 0.0880|38.07
 0.0178|34.70
 0.0710|37.78
 0.0251|35.09
 0.0520|37.16
 0.0286|35.53
 0.0490|36.90
 0.0500|37.08
 0.0180|34.29
 0.0890|38.50
 0.0510|36.67
 0.0244|35.09
 0.0290|35.70
 0.0161|34.50
 0.0360|36.01
 0.0116|32.96
 0.4780|42.48
 0.0530|37.17
 0.2300|40.44
 0.3000|40.76
 0.0670|37.54
 0.4500|42.13
 0.4800|42.37
 0.6150|42.85
 0.4000|42.04
 0.4980|43.21
 0.4650|42.81
 0.0490|36.52
 0.0219|34.70
 0.3880|42.07
 0.0152|34.11
 0.0276|35.90
 0.4250|41.70
 0.6200|43.11
 0.5700|42.81
 0.3000|41.01
 0.3800|42.02
 0.1600|39.08
 0.2400|40.68
 0.4300|42.33
 0.0247|35.33
 0.1240|39.20
 0.0165|33.82
 0.0167|34.21
 0.0348|36.17
 0.4900|42.58
 0.4500|42.58
 0.8280|43.96
 0.4950|42.25
 0.5700|42.77
 0.0132|34.02
 0.5800|43.04
 0.5260|42.56
 0.1720|39.79
 0.1800|39.98
 0.4720|42.46
 0.4300|41.99
 0.6570|43.27
 0.0166|34.54
 0.4500|42.10
 0.3200|41.45
 0.5810|42.63
 0.4400|42.57
 0.5080|41.64
 0.4160|42.10
 0.8300|43.85
 0.5790|42.86
 0.4200|41.76
 0.5180|42.83
 0.3340|40.92
 0.9700|44.13
 0.0175|34.52
 0.5000|42.74
 0.4400|42.08
 0.0297|36.12
 0.0104|33.73
 0.7780|43.81
 0.8600|44.03
 0.5380|42.66
 1.7550|45.53
 0.8860|42.91
 0.8280|43.61
 0.6300|42.62
 0.0170|34.47
 0.4600|41.83
 0.6380|43.30
 0.7400|43.35
 0.6440|42.78
 0.4300|42.36
 0.0104|33.21
 0.0171|34.68
 0.0327|36.08
 0.0530|36.97
 0.0170|34.18
 0.0234|35.36
 0.4600|42.56
 0.5000|42.75
 0.0257|35.41
 0.0157|34.58
 0.0316|35.85
 0.0104|33.56
 0.0121|34.05
 0.0141|34.43
 0.0136|33.73
 0.0380|36.67
 0.2780|41.00
 1.0560|44.25
 0.9490|43.99
 0.8150|43.76
 0.4550|42.29
 1.1900|44.19
 0.3690|41.62
 0.4770|42.38
 0.0260|35.62
 0.0193|34.59
 0.0266|35.36
 0.0360|36.39
 0.0233|35.14
 0.0164|34.47
 0.0164|34.41
 0.5000|42.75
 0.4900|42.41
 0.4700|42.74
 0.5400|41.96
 0.4200|40.79
 0.4700|42.77
 0.5430|42.68
 0.0218|35.06
 0.0162|34.13
 0.8730|43.75
 0.7710|43.12
 0.8110|43.97
 0.7980|43.88
 0.8320|43.55
 0.8820|43.90
 0.3400|40.71
 0.3970|40.89
 0.5700|42.88
 0.7100|43.05
 0.5280|42.77
 0.8840|44.23
 0.6980|43.33
 0.8150|44.09
 0.9770|43.91
 0.9350|43.99
 0.7190|43.22
 0.4220|42.02
 0.5140|42.39
 0.4750|42.14
 0.9500|44.06
 1.3000|45.27
 1.4000|45.09
 0.5260|43.01
 1.3050|44.70
 0.2160|40.33
 0.7350|43.09
 1.1400|44.84
 1.2650|45.20
 1.5510|45.30
 0.6700|43.19
 0.6400|43.07
 1.3400|45.05
 0.9540|44.28
 0.8390|43.86
 0.8990|43.64
 0.9400|43.87

