#SN1A,D,V
1990.01,134.7,9065
1990.02,158.9,12012
1990.03,198.6,15055
1991.01,238.9,16687
1991.02,117.1,9801
1991.03,56,4124
1992.01,183.9,13707
1992.02,121.5,7880
1992.03,274.6,22426
1992.04,102.1,7765
1992.05,58,4227
1992.06,467,30253
1992.07,262.2,18212
1992.08,88.6,5935
1992.09,151.4,10696
1992.1,202.5,13518
1992.11,235.9,17371
1992.12,176.8,12871
1992.13,77.9,5434
1992.14,309.5,23646
1992.15,391.5,26318
1992.16,280.1,18997
1993.01,303.4,21190
1993.02,236.1,15567
1993.03,215.4,15002
1993.04,119.7,8604
1993.05,202.3,14764
1993.06,71.8,5424
1994.01,96.7,7241
1994.02,127.8,8691
1994.05,66.8,4847
1994.06,149.9,10715
1995.01,185.6,14634
1995.02,82.4,6673
1996.01,136,9024
1996.02,132.7,10446
